AREA,VEH_POWER,VEH_AGE,DRIV_AGE,BONUS_MALUS,VEH_BRAND,VEH_GAS,DENSITY,REGION,CLAIM_NB,CLAIM_MEAN_AMOUNT_CAPPED
C,,9,45.0,62,B14,Diesel,151,R82,1.0,1128.12
C,6.0,2,73.0,55,B2,Diesel,105,R24,1.0,1021.82
C,5.0,7,61.0,50,B1,Regular,461,R53,1.0,1128.12
C,7.0,8,53.0,50,B1,Regular,121,R24,1.0,84.3
B,7.0,0,,50,B1,Diesel,56,R25,1.0,1128.12
,8.0,7,65.0,62,B3,Regular,44,R24,1.0,1128.12
C,7.0,8,78.0,50,B1,Regular,282,R24,1.0,109.56
A,4.0,6,51.0,50,B2,Regular,40,R24,1.0,1544.32
C,4.0,8,76.0,52,B6,Regular,405,R24,1.0,820.58
D,6.0,1,69.0,50,B1,Regular,741,R24,1.0,1128.12
D,8.0,9,56.0,50,B1,Diesel,1284,R25,1.0,1128.12
A,5.0,1,72.0,50,B1,Regular,48,R24,1.0,316.62
A,6.0,10,55.0,50,B2,Diesel,26,R52,1.0,1700.93
D,5.0,1,72.0,50,B2,Regular,581,R82,1.0,1128.12
B,6.0,6,44.0,50,B1,Diesel,56,R24,1.0,1128.12
D,7.0,9,78.0,50,B1,Regular,1284,R25,1.0,520.32
A,6.0,5,50.0,50,B2,Diesel,48,R53,1.0,50000.0
A,6.0,6,78.0,50,B1,Regular,43,R54,1.0,1128.12
C,4.0,10,50.0,50,B1,Diesel,251,R25,1.0,92.99
E,5.0,10,62.0,50,B1,Regular,2563,R11,1.0,649.46
A,7.0,2,53.0,62,B2,Regular,13,R24,1.0,1128.12
C,6.0,13,48.0,50,B5,Regular,335,R24,1.0,258.15
B,7.0,6,54.0,50,B2,Regular,66,R24,1.0,1128.12
A,15.0,1,73.0,50,B10,Regular,10,R24,1.0,5468.42
D,7.0,18,51.0,100,B1,Regular,1313,R24,1.0,3714.99
A,4.0,11,79.0,50,B1,Regular,39,R24,1.0,25074.81
E,10.0,11,66.0,50,B12,Diesel,4116,R24,1.0,2514.57
B,5.0,5,53.0,50,B1,Regular,94,R53,1.0,57.77
D,7.0,14,63.0,50,B1,Regular,1943,R24,1.0,10.16
C,5.0,9,50.0,50,B5,Diesel,399,R24,1.0,1128.12
C,9.0,10,,85,B1,Regular,255,R24,1.0,1128.12
C,6.0,12,86.0,50,B1,Regular,227,R54,2.0,1128.12
A,6.0,4,67.0,50,B1,Diesel,18,R24,1.0,1253.0
E,5.0,8,56.0,50,B2,Regular,8455,R82,1.0,1128.12
A,11.0,11,48.0,50,B10,Regular,49,R54,1.0,1128.12
C,7.0,14,60.0,50,B2,Regular,295,R24,1.0,367.49
C,9.0,16,64.0,50,B2,Regular,295,R24,1.0,13.38
A,5.0,11,43.0,50,B2,Diesel,44,R24,1.0,1128.12
C,4.0,4,75.0,50,B2,Regular,385,R24,1.0,7165.1
B,6.0,0,52.0,50,B6,Regular,50,R24,1.0,735.57
A,7.0,8,43.0,50,B2,Regular,16,R24,1.0,234.15
B,10.0,7,49.0,50,B11,Regular,73,R24,1.0,50000.0
A,7.0,10,67.0,55,B2,Regular,48,R24,1.0,770.54
,6.0,9,53.0,50,B2,Regular,24,R24,1.0,956.84
A,12.0,5,51.0,50,B12,Diesel,8,R52,1.0,1128.12
C,5.0,1,79.0,50,B2,Regular,240,R82,1.0,2703.84
,7.0,3,75.0,58,B2,Regular,91,R24,2.0,5425.48
A,5.0,9,43.0,50,B4,Diesel,35,R24,1.0,772.17
E,7.0,0,54.0,50,B13,Diesel,4116,R24,1.0,1232.63
,6.0,5,,50,B5,Regular,1102,R53,1.0,2332.41
C,6.0,2,80.0,50,B2,Regular,473,R53,1.0,1128.12
D,4.0,12,49.0,50,B2,Regular,522,R52,1.0,63.86
C,6.0,1,71.0,62,B2,Diesel,229,R53,1.0,1128.12
B,4.0,11,86.0,50,B2,Diesel,51,R24,1.0,1128.12
C,7.0,13,73.0,50,B1,Regular,182,R24,1.0,1128.12
C,8.0,6,69.0,50,B2,Regular,359,R53,1.0,679.91
A,6.0,4,42.0,50,B2,Diesel,28,R24,1.0,1057.94
A,7.0,6,,50,B1,Diesel,44,R24,1.0,240.86
A,12.0,12,45.0,62,B3,Regular,10,R24,1.0,1128.12
D,5.0,2,52.0,58,B3,Diesel,1313,R24,1.0,1368.55
B,4.0,15,72.0,50,B1,Regular,57,R24,1.0,504.93
C,7.0,11,87.0,69,B2,Regular,399,R24,1.0,1128.12
,6.0,2,50.0,68,B2,Diesel,32,R24,1.0,30829.41
A,5.0,17,58.0,102,B1,Regular,44,R24,2.0,1128.12
C,7.0,14,55.0,50,B1,Regular,111,R24,1.0,1128.12
A,8.0,10,,50,B10,Regular,12,R24,1.0,4836.6
B,7.0,5,51.0,50,B1,Diesel,59,R24,1.0,215.84
A,7.0,7,,50,B1,Regular,27,R24,1.0,500.0
B,9.0,1,62.0,55,B1,Regular,91,R24,1.0,1189.41
A,6.0,6,69.0,50,B3,Diesel,25,R24,1.0,1128.12
C,8.0,1,45.0,50,B2,Diesel,106,R24,1.0,402.79
A,7.0,5,72.0,50,B2,Regular,26,R24,1.0,1128.12
E,5.0,6,46.0,76,B4,Diesel,2007,R11,1.0,795.38
B,11.0,6,42.0,50,B2,Regular,74,R24,1.0,2163.72
D,7.0,5,50.0,50,B1,Diesel,1313,R24,1.0,2821.16
A,4.0,21,68.0,50,B1,Regular,30,R24,1.0,858.28
C,7.0,12,68.0,50,B10,Regular,270,R24,1.0,1128.12
B,6.0,4,46.0,50,B2,Diesel,50,R25,1.0,1128.12
D,8.0,6,58.0,55,B13,Diesel,575,R53,1.0,1128.12
C,11.0,8,,77,B13,Regular,165,R53,1.0,1128.12
D,6.0,5,71.0,76,B2,Diesel,634,R53,1.0,1128.12
C,4.0,15,54.0,50,B1,Regular,473,R53,1.0,1128.12
,7.0,4,49.0,50,B2,Diesel,4128,R52,1.0,3115.36
E,5.0,14,49.0,55,B2,Regular,4128,R52,1.0,1128.12
C,7.0,10,47.0,50,B6,Diesel,122,R25,1.0,569.2
B,5.0,4,71.0,50,B1,Regular,91,R52,1.0,716.23
C,6.0,6,81.0,50,B13,Diesel,112,R24,1.0,587.73
B,6.0,11,,51,B2,Regular,60,R25,1.0,217.89
C,6.0,12,42.0,50,B2,Regular,133,R53,1.0,1128.12
C,4.0,11,43.0,50,B1,Regular,196,R25,1.0,1721.48
A,4.0,10,,50,B2,Diesel,45,R24,1.0,10407.2
C,6.0,3,51.0,57,B3,Regular,287,R53,1.0,161.03
D,4.0,10,54.0,50,B2,Regular,1182,R82,1.0,1128.12
E,7.0,14,84.0,50,B13,Regular,9307,R82,1.0,1128.12
,5.0,8,56.0,50,B2,Diesel,27000,R11,1.0,1128.12
C,6.0,5,59.0,73,B2,Diesel,270,R31,1.0,1128.12
B,7.0,3,,56,B1,Diesel,71,R24,1.0,1128.12
A,4.0,12,39.0,50,B3,Diesel,32,R82,2.0,859.455
,4.0,1,54.0,50,B1,Regular,40,R82,1.0,492.97
C,4.0,4,70.0,52,B2,Diesel,133,R82,1.0,1128.12
C,4.0,5,69.0,50,B1,Regular,473,R53,1.0,1152.45
E,4.0,10,56.0,54,B5,Regular,3386,R53,1.0,1128.12
C,5.0,2,72.0,50,B1,Regular,473,R53,1.0,1128.12
F,5.0,1,58.0,64,B3,Regular,27000,R11,1.0,133.39
A,4.0,15,,50,B1,Regular,9,R24,1.0,1128.12
A,4.0,8,39.0,50,B4,Diesel,29,R24,1.0,75.32
C,7.0,4,,50,B1,Diesel,155,R24,1.0,1128.12
C,5.0,4,53.0,50,B4,Diesel,128,R24,1.0,1085.44
A,7.0,4,52.0,50,B2,Regular,14,R24,1.0,3407.2
C,6.0,2,77.0,50,B1,Regular,399,R24,1.0,366.4
C,6.0,1,58.0,50,B10,Regular,399,R24,1.0,68.92
A,6.0,6,,62,B2,Diesel,16,R24,1.0,1128.12
A,7.0,11,55.0,90,B1,Regular,30,R24,1.0,1247.73
A,5.0,2,76.0,50,B2,Regular,43,R24,1.0,1128.12
A,7.0,15,51.0,50,B2,Regular,25,R91,1.0,92.43
C,5.0,12,62.0,50,B3,Diesel,399,R24,1.0,1128.12
C,7.0,5,63.0,50,B2,Diesel,192,R24,1.0,71.47
A,7.0,3,,55,B3,Diesel,9,R24,1.0,1128.12
E,5.0,6,57.0,62,B4,Diesel,4116,R24,1.0,1250.08
C,6.0,3,41.0,50,B2,Regular,270,R24,1.0,1320.24
A,6.0,4,48.0,58,B1,Diesel,13,R52,1.0,1128.12
D,6.0,1,48.0,50,B2,Regular,1064,R24,1.0,1957.96
C,9.0,13,44.0,50,B11,Diesel,394,R24,1.0,66.32
,5.0,0,64.0,50,B2,Diesel,51,R24,1.0,2839.2
A,6.0,3,47.0,50,B1,Diesel,15,R26,1.0,914.09
D,7.0,11,41.0,50,B1,Regular,821,R24,1.0,139.65
C,4.0,15,72.0,50,B2,Regular,229,R53,1.0,1128.12
E,6.0,3,38.0,50,B1,Diesel,2103,R25,1.0,1128.12
D,5.0,8,66.0,50,B5,Regular,1192,R53,1.0,64.0
C,8.0,6,45.0,50,B12,Regular,473,R53,1.0,3921.13
,7.0,7,57.0,50,B5,Regular,229,R53,1.0,1128.12
C,6.0,2,58.0,50,B1,Diesel,473,R53,1.0,400.15
C,6.0,6,65.0,52,B1,Regular,229,R53,1.0,1128.12
C,5.0,6,52.0,50,B3,Regular,473,R53,1.0,564.06
C,7.0,3,,50,B1,Diesel,206,R93,1.0,1128.12
E,5.0,5,43.0,50,B2,Regular,4128,R52,1.0,462.01
B,7.0,6,44.0,50,B2,Diesel,77,R25,1.0,1128.12
E,6.0,7,,50,B1,Regular,8884,R11,1.0,304.9
D,6.0,9,80.0,50,B1,Regular,1284,R25,2.0,696.26
E,11.0,7,60.0,51,B2,Regular,3386,R53,1.0,76.11
,7.0,7,49.0,67,B2,Diesel,165,R53,1.0,1128.12
C,6.0,2,66.0,50,B1,Diesel,165,R53,1.0,1128.12
C,7.0,16,51.0,50,B14,Diesel,240,R82,1.0,867.21
C,5.0,1,45.0,68,B2,Regular,481,R82,1.0,1128.12
E,6.0,11,69.0,50,B6,Regular,3859,R82,1.0,1128.12
D,7.0,2,72.0,50,B2,Regular,600,R82,1.0,538.15
E,7.0,11,51.0,50,B11,Regular,3457,R82,1.0,208.13
A,4.0,6,51.0,50,B6,Regular,36,R11,1.0,62.56
A,4.0,3,75.0,50,B1,Regular,28,R82,1.0,1128.12
D,5.0,1,59.0,50,B4,Regular,609,R93,1.0,1128.12
C,5.0,6,,50,B1,Regular,141,R82,1.0,79.13
,4.0,5,56.0,50,B6,Regular,461,R53,1.0,42.76
A,5.0,13,86.0,58,B2,Regular,16,R24,1.0,1128.12
C,6.0,2,79.0,50,B2,Diesel,118,R24,1.0,2564.57
D,5.0,9,,50,B5,Diesel,1064,R24,1.0,1128.12
E,5.0,1,54.0,50,B10,Diesel,3866,R24,1.0,7622.45
C,6.0,4,50.0,50,B5,Diesel,282,R24,1.0,1128.12
D,9.0,12,53.0,50,B14,Regular,1193,R24,1.0,1128.12
A,4.0,3,46.0,50,B2,Regular,28,R24,1.0,1128.12
,9.0,11,29.0,60,B10,Diesel,3866,R24,1.0,3000.0
,7.0,4,,50,B2,Diesel,97,R24,1.0,84.09
D,6.0,10,63.0,50,B1,Diesel,1398,R24,1.0,7902.51
C,7.0,11,33.0,50,B1,Regular,374,R24,1.0,1472.37
C,7.0,17,33.0,77,B1,Regular,374,R24,1.0,1128.12
F,6.0,11,50.0,50,B1,Regular,10156,R11,1.0,1128.12
A,5.0,16,35.0,68,B2,Regular,39,R23,1.0,389.21
A,6.0,0,50.0,50,B3,Diesel,16,R74,1.0,1128.12
B,5.0,3,29.0,76,B5,Regular,87,R53,1.0,803.14
D,5.0,4,33.0,51,B3,Diesel,1690,R53,1.0,405.91
A,7.0,0,31.0,83,B2,Regular,34,R53,1.0,4817.74
D,6.0,10,56.0,61,B3,Diesel,747,R53,1.0,1387.24
D,6.0,5,25.0,80,B1,Regular,634,R53,1.0,672.48
,6.0,3,25.0,76,B3,Regular,39,R53,1.0,1377.95
B,6.0,3,41.0,50,B2,Diesel,70,R53,1.0,564.06
A,6.0,13,50.0,50,B3,Regular,50,R53,1.0,97.13
F,5.0,3,46.0,50,B1,Diesel,22669,R11,1.0,2174.7
B,6.0,7,35.0,68,B4,Regular,51,R53,1.0,1128.12
C,5.0,5,43.0,90,B3,Diesel,133,R53,1.0,963.35
B,8.0,3,52.0,55,B2,Diesel,90,R24,1.0,1491.02
A,6.0,0,60.0,50,B1,Regular,20,R24,1.0,1865.73
A,7.0,9,47.0,50,B2,Diesel,44,R24,1.0,55.96
B,7.0,5,74.0,52,B2,Regular,78,R24,1.0,1128.12
,11.0,11,46.0,62,B13,Regular,298,R24,1.0,7083.38
A,4.0,0,76.0,50,B1,Regular,22,R24,1.0,1128.12
B,7.0,5,73.0,82,B2,Regular,81,R24,1.0,50.46
C,5.0,2,27.0,74,B3,Diesel,255,R53,1.0,57.74
D,10.0,3,30.0,64,B4,Diesel,614,R24,1.0,135.7
C,5.0,4,67.0,50,B1,Regular,126,R24,1.0,700.0
A,6.0,13,50.0,50,B2,Diesel,29,R24,1.0,364.81
B,6.0,6,23.0,112,B2,Diesel,61,R24,2.0,1128.12
B,6.0,13,33.0,80,B6,Regular,67,R24,1.0,26665.92
C,8.0,13,46.0,50,B1,Diesel,170,R24,1.0,1128.12
B,4.0,4,50.0,60,B1,Regular,50,R24,1.0,273.88
A,5.0,2,54.0,50,B2,Diesel,13,R24,1.0,431.18
,7.0,16,74.0,62,B1,Regular,67,R24,1.0,1128.12
A,5.0,10,20.0,95,B1,Regular,5,R24,1.0,1128.12
A,6.0,9,20.0,147,B2,Diesel,16,R24,1.0,4749.75
B,7.0,5,29.0,50,B1,Diesel,67,R24,1.0,84.97
A,6.0,6,63.0,50,B2,Diesel,13,R24,1.0,1009.69
C,7.0,9,24.0,112,B2,Regular,295,R24,2.0,1646.51
B,4.0,19,38.0,50,B1,Regular,50,R24,1.0,1128.12
C,7.0,4,42.0,50,B1,Regular,213,R74,1.0,1393.49
B,6.0,6,,55,B1,Diesel,64,R74,1.0,1128.12
C,4.0,9,31.0,62,B2,Diesel,213,R74,1.0,2081.53
A,4.0,6,54.0,77,B2,Diesel,10,R74,2.0,1128.12
A,5.0,11,61.0,62,B3,Regular,23,R74,1.0,466.51
C,4.0,14,77.0,50,B2,Regular,451,R52,1.0,1824.17
C,8.0,13,27.0,72,B2,Regular,213,R74,1.0,324.21
B,7.0,0,38.0,53,B13,Diesel,73,R82,1.0,1128.12
,6.0,11,45.0,56,B6,Diesel,23,R74,1.0,696.7
C,7.0,12,52.0,62,B1,Regular,213,R74,1.0,1128.12
A,5.0,8,33.0,54,B4,Regular,25,R74,1.0,528.35
,14.0,12,29.0,67,B11,Regular,27,R74,1.0,407.21
F,7.0,4,27.0,60,B6,Regular,10068,R11,1.0,1246.34
A,9.0,10,48.0,58,B2,Diesel,22,R74,1.0,264.53
C,5.0,14,38.0,67,B6,Regular,213,R74,1.0,1128.12
C,7.0,10,27.0,85,B6,Regular,208,R52,1.0,1128.12
A,7.0,5,37.0,50,B1,Diesel,10,R74,1.0,93.87
E,10.0,2,58.0,50,B1,Regular,4116,R24,1.0,1128.12
A,6.0,14,75.0,50,B2,Diesel,42,R52,1.0,1037.89
D,6.0,1,34.0,54,B3,Diesel,1729,R74,1.0,1128.12
E,5.0,2,38.0,64,B2,Regular,4128,R52,1.0,584.51
B,10.0,9,46.0,55,B2,Diesel,92,R52,1.0,991.68
E,6.0,8,35.0,50,B1,Diesel,3541,R52,1.0,1189.75
B,4.0,6,,95,B4,Regular,51,R52,1.0,1128.12
B,9.0,6,33.0,60,B1,Regular,64,R52,1.0,241.34
B,5.0,4,31.0,68,B3,Diesel,91,R52,1.0,154.98
B,6.0,8,34.0,53,B1,Diesel,84,R52,1.0,1623.46
C,4.0,13,47.0,50,B2,Regular,405,R52,1.0,1128.12
A,6.0,6,34.0,88,B1,Diesel,31,R52,1.0,1128.12
E,5.0,11,,57,B6,Regular,6736,R11,1.0,1128.12
C,5.0,14,35.0,50,B2,Diesel,295,R52,1.0,1128.12
A,4.0,1,46.0,77,B12,Regular,44,R52,1.0,1134.09
B,7.0,13,45.0,90,B1,Regular,78,R52,1.0,1128.12
A,6.0,10,45.0,50,B1,Regular,22,R74,1.0,1128.12
E,6.0,2,27.0,85,B3,Diesel,3301,R73,1.0,826.83
B,7.0,14,37.0,72,B6,Regular,74,R73,1.0,1128.12
B,9.0,9,53.0,50,B3,Regular,65,R52,1.0,108.64
A,7.0,10,,95,B6,Regular,40,R52,1.0,1128.12
E,5.0,10,44.0,50,B5,Diesel,2694,R54,1.0,36.95
C,7.0,0,52.0,50,B3,Diesel,101,R72,1.0,92.37
A,7.0,4,40.0,95,B2,Diesel,17,R24,1.0,317.51
A,6.0,6,29.0,64,B3,Diesel,41,R24,1.0,4605.54
A,5.0,9,29.0,72,B2,Diesel,42,R24,1.0,2473.95
C,10.0,5,26.0,64,B4,Regular,192,R24,1.0,560.09
C,4.0,11,54.0,50,B2,Regular,192,R24,1.0,1128.12
C,6.0,1,70.0,50,B1,Regular,115,R24,1.0,2487.55
B,6.0,4,43.0,50,B13,Diesel,51,R24,1.0,3330.28
A,4.0,11,51.0,77,B1,Diesel,41,R24,1.0,1782.95
A,4.0,8,51.0,50,B1,Regular,26,R24,1.0,5907.42
A,6.0,2,47.0,62,B1,Diesel,30,R24,1.0,1128.12
E,4.0,18,23.0,125,B2,Regular,3866,R24,1.0,1128.12
A,4.0,15,48.0,50,B1,Regular,42,R24,1.0,1128.12
A,5.0,12,19.0,50,B3,Diesel,43,R24,1.0,1128.12
C,7.0,12,58.0,55,B2,Diesel,222,R24,1.0,1128.12
C,5.0,10,31.0,85,B6,Diesel,222,R24,1.0,2652.61
B,5.0,1,,62,B1,Diesel,53,R24,1.0,1128.12
C,10.0,8,34.0,50,B12,Regular,186,R24,1.0,1128.12
F,4.0,2,29.0,80,B1,Regular,27000,R11,1.0,1128.12
C,8.0,13,32.0,50,B2,Regular,380,R52,1.0,71.47
D,6.0,17,32.0,59,B4,Regular,1064,R24,1.0,1128.12
B,6.0,17,43.0,107,B3,Regular,82,R24,1.0,1128.12
D,6.0,6,,64,B2,Diesel,741,R24,1.0,3848.47
D,5.0,2,28.0,50,B2,Diesel,741,R24,1.0,329.2
D,5.0,11,30.0,85,B2,Regular,741,R24,1.0,1128.12
C,7.0,5,54.0,50,B1,Diesel,335,R24,1.0,1496.45
A,6.0,3,51.0,61,B1,Diesel,48,R24,1.0,1128.12
E,7.0,2,74.0,50,B12,Regular,3866,R24,1.0,1128.12
E,7.0,14,32.0,132,B1,Regular,4478,R11,1.0,564.06
A,7.0,14,55.0,68,B1,Regular,21,R25,1.0,1399.65
A,7.0,7,57.0,50,B2,Diesel,13,R52,1.0,172.25
B,6.0,6,50.0,70,B6,Diesel,51,R24,1.0,1128.12
A,7.0,2,48.0,92,B1,Diesel,20,R24,1.0,1128.12
D,4.0,2,53.0,86,B1,Regular,1313,R24,1.0,1128.12
A,6.0,3,47.0,50,B5,Diesel,43,R24,1.0,65.27
,8.0,9,76.0,50,B1,Diesel,48,R24,1.0,50000.0
A,5.0,6,42.0,50,B4,Diesel,22,R24,1.0,1128.13
D,6.0,2,56.0,50,B3,Diesel,1440,R93,1.0,1128.12
C,4.0,5,50.0,52,B6,Regular,295,R24,1.0,1128.12
C,8.0,16,,76,B10,Regular,295,R24,1.0,1187.79
C,6.0,5,43.0,58,B1,Diesel,399,R24,1.0,1128.12
D,9.0,4,65.0,50,B12,Regular,1054,R24,1.0,1128.12
A,6.0,11,26.0,64,B2,Regular,44,R24,1.0,245.99
B,5.0,5,29.0,64,B3,Diesel,84,R24,1.0,148.79
D,7.0,4,,50,B12,Regular,1054,R24,1.0,757.58
A,7.0,2,31.0,51,B1,Diesel,28,R42,1.0,507.65
C,4.0,13,77.0,52,B2,Regular,137,R24,1.0,681.62
A,6.0,2,64.0,62,B1,Diesel,30,R24,1.0,1191.57
A,7.0,15,51.0,51,B1,Regular,44,R24,1.0,1128.12
C,10.0,8,23.0,95,B5,Diesel,308,R24,1.0,614.49
